DECADE_BUILT,STRUCTURE_TYPE,BRIDGES_BUILT,RATIO
2000,01,8893,0.105804
2000,02,39704,0.472374
2000,03,323,0.00384286
2000,04,2162,0.0257222
2000,05,9129,0.108611
2000,06,2747,0.0326822
2000,07,1071,0.0127421
2000,08,109,0.00129682
2000,09,27,0.000321229
2000,10,601,0.00715033
2000,11,437,0.00519916
2000,12,76,0.000904202
2000,13,9,0.000107076
2000,14,33,0.000392614
2000,15,20,0.000237947
2000,16,39,0.000463998
2000,17,9,0.000107076
2000,19,16090,0.191429
2000,20,2,0.000023794
2000,21,271,0.00322419
2000,22,1722,0.0204873
2010,00,357,0.00928116
2010,01,4301,0.111816
2010,02,17499,0.454933
2010,03,208,0.00540751
2010,04,1497,0.0389185
2010,05,3983,0.103549
2010,06,1702,0.044248
2010,07,547,0.0142207
2010,08,24,0.000623943
2010,09,18,0.000467957
2010,10,248,0.00644742
2010,11,180,0.00467958
2010,12,37,0.000961913
2010,13,4,0.00010399
2010,14,14,0.000363967
2010,15,10,0.000259976
2010,16,14,0.000363967
2010,17,9,0.000233978
2010,19,7013,0.182322
2010,20,1,0.000025997
2010,21,100,0.00259977
2010,22,613,0.0159366
