DECADE_BUILT,BRIDGES_BUILT,AVG_DESIGN_LOAD
1880,177,16.449152542372882
1890,275,17.083636363636362
1900,2517,16.912991656734206
1910,2145,16.151748251748252
1920,10502,15.483479337269092
1930,25893,15.360444907890164
1940,17916,15.658573342263898
1950,52635,16.22966657167284
1960,86352,16.980266814897163
1970,70012,17.33212163629092
1980,66934,17.84510114441091
1990,70749,18.52506042488233
2000,57897,18.883413648375562
2010,13555,19.047067502766506
